acp | fb9636db44 2026-06-16 | commits=128
api | bb61dc13f2 2026-08-07 | commits=69
attachment | cb4c11b869 2026-07-23 | commits=36
boot | 3fc35c91ff 2026-07-30 | commits=116
bundle | 2365b2c54f 2026-08-06 | commits=238
client | a6a3807a07 2026-07-19 | commits=2241
code-runtime | 6da6f04016 2026-07-08 | commits=125
compaction | a2d0f7f411 2026-08-13 | commits=11
context | a9d74932b1 2026-07-14 | commits=309
core | d02e9f1bd6 2026-06-20 | commits=1564
credentials | 3a794495ad 2026-07-29 | commits=68
e2b | e7b682f1f6 2026-07-28 | commits=71
examples | 6f77da4c8c 2026-07-15 | commits=392
extensions | a2d0f7f411 2026-08-13 | commits=28
feedback | 0ccd3ed463 2026-07-29 | commits=43
fs | 5e01564afb 2026-06-22 | commits=335
goal | a525776015 2026-07-19 | commits=209
guard | db26ef479d 2026-07-08 | commits=119
hooks | 65165b5d54 2026-07-01 | commits=240
host | a6a3807a07 2026-07-19 | commits=899
identity | a2d0f7f411 2026-08-13 | commits=10
interaction | 3fc35c91ff 2026-07-30 | commits=42
jobs | a2d0f7f411 2026-08-13 | commits=11
llm | d5a1d9bb75 2026-06-11 | commits=518
lsp | d0029d8d60 2026-07-16 | commits=105
mcp | 1fbe7c39d4 2026-07-07 | commits=78
plan | f4185122dc 2026-07-22 | commits=110
preset | 18fe174897 2026-08-03 | commits=117
runtime-diagnostics | a2d0f7f411 2026-08-13 | commits=10
sandbox | 7b8c3a9b40 2026-07-09 | commits=199
schedule | a229b42e24 2026-08-05 | commits=62
sdk | 42b07a7022 2026-07-15 | commits=160
session | d5a1d9bb75 2026-06-11 | commits=120
session-query | aa1dc0e2c7 2026-07-10 | commits=199
settings | ec0786e099 2026-07-28 | commits=89
shell | a2d0f7f411 2026-08-13 | commits=14
skill | 6292d52236 2026-07-10 | commits=222
spill | 463b72ce96 2026-07-08 | commits=80
storage | e90b0d51df 2026-07-24 | commits=54
subagent | 1a81f2cccd 2026-06-21 | commits=641
subprocess | fc566119a7 2026-07-26 | commits=98
terminal | a2d0f7f411 2026-08-13 | commits=10
test-support | a2d0f7f411 2026-08-13 | commits=12
todo | 46e31d8481 2026-06-29 | commits=161
typert | f773985e71 2026-07-28 | commits=85
util | d6a2ab30c8 2026-06-21 | commits=150
web | d01f5f73b7 2026-06-25 | commits=167
workflow | 1d43ea3cd5 2026-07-05 | commits=171
workspace | 013e6f8769 2026-07-24 | commits=50
